HorseName,Rank,HorseNum,Age,Weight,HorseWeight,Top1Win,Top2Win,Distance,S1F,Cornor3,G3F,Cornor4,HorseWin,HorseRankInTop2,HorseRankInTop3,Cutted,Male,Female,Good,Rain,Fog
마이티뉴,1,5,3,55,492,2.9,2,1200,13.9,24.8,36.8,43.1,1,1,1,1,0,0,1,0,0
거미손,2,1,3,55,531,48.8,1.6,1200,13.8,24.4,36.5,42.8,0,1,1,0,1,0,1,0,0
에코빅터,3,9,3,56,491,4.4,3.2,1200,13.7,24.6,36.7,43,0,0,1,1,0,0,1,0,0
삼단가속,4,6,2,54,463,48.8,41.1,1200,14.3,25.6,37.8,43.9,0,0,0,0,1,0,1,0,0
창성히트,5,10,3,55,463,9.4,6.8,1200,14.5,25.8,37.8,43.9,0,0,0,1,0,0,1,0,0
장산골드,6,12,3,54,505,4.4,2.9,1200,13.6,24.6,36.8,43.1,0,0,0,0,0,1,1,0,0
매직알리바바,7,4,3,54,419,48.8,1.6,1200,14.4,25.9,38.1,44.5,0,0,0,0,0,1,1,0,0
흥애디,8,2,2,52,508,48.8,1.6,1200,14.2,25.4,37.4,43.6,0,0,0,0,0,1,1,0,0
문학앙코르,9,8,2,54,527,48.8,11.7,1200,14,25,37.1,43.4,0,0,0,0,1,0,1,0,0
장산럭키,10,11,3,56,467,4.4,2.5,1200,13.5,24.6,37.1,43.9,0,0,0,1,0,0,1,0,0
인천보스,11,7,3,56,484,48.8,41.1,1200,14.3,25.8,38.2,44.8,0,0,0,0,1,0,1,0,0
슈룹,1,6,4,53,474,10.7,55.5,1700,14.1,64.5,72.1,79.2,1,1,1,0,0,1,1,0,0
행복왕자,2,3,3,55,541,12.2,2.2,1700,14.5,64.9,72.8,80.2,0,1,1,0,1,0,1,0,0
